Waterfront, 49.285833, -123.111667
Burrard, 49.285616, -123.120157
Granville, 49.28275, -123.116639
Stadium–Chinatown, 49.279444, -123.109444
Main Street-Science World, 49.273114, -123.100348
Commercial–Broadway, 49.2625, -123.068889
Nanaimo, 49.248184, -123.05564
29th Avenue, 49.244084, -123.045931
Joyce-Collingwood, 49.23835, -123.031704
Patterson, 49.22967, -123.012376
Metrotown, 49.225463, -123.003182
Royal Oak, 49.220004, -122.988381
Edmonds, 49.212054, -122.959226
22nd Street, 49.2, -122.949167
New Westminster, 49.201354, -122.912716
Columbia, 49.20476, -122.906161
Scott Road, 49.20442, -122.874157
Gateway, 49.198945, -122.850559
Surrey Central, 49.189473, -122.847871
King George, 49.1827, -122.8446

Sapperton, 49.22443, -122.88964
Braid, 49.23322, -122.88283

VCC-Clark, 49.265753, -123.078825
Renfrew, 49.258889, -123.045278
Rupert, 49.260833, -123.032778
Gilmore, 49.26489, -123.01351
Brentwood Town Centre, 49.26633, -123.00163
Holdom, 49.26469, -122.98222
Sperling–Burnaby Lake, 49.25914, -122.96391
Lake City Way, 49.25458, -122.93903
Production Way-University, 49.25337, -122.91815
Lougheed Town Centre, 49.24846, -122.89702
Burquitlam, 49.261389, -122.889722
Moody Centre, 49.27806, -122.84579
Inlet Centre, 49.277222, -122.827778
Coquitlam Central, 49.273889, -122.8
Lincoln, 49.280425, -122.793915
Lafarge Lake-Douglas, 49.285556, -122.791667

Vancouver City Centre, 49.28202, -123.11875
Yaletown-Roundhouse, 49.27455, -123.1219
Olympic Village, 49.266389, -123.115833
Broadway-City Hall, 49.262778, -123.114444
King Edward, 49.249167, -123.115833
Oakridge-41st Avenue, 49.233056, -123.116667
Langara-49th Avenue, 49.226389, -123.116111
Marine Drive, 49.209722, -123.116944
Bridgeport, 49.195556, -123.126111
Aberdeen, 49.183889, -123.136389
Lansdowne, 49.174722, -123.136389
Richmond-Brighouse, 49.168056, -123.136389

Templeton, 49.196667, -123.146389
Sea Island Centre, 49.193056, -123.158056
YVR-Airport, 49.194167, -123.178333
